"Parameter,InternalName"
"Analysis mode,analysis_mode"
"Max external combined (%),max_external_combined_percent"
"External step size (%),external_step_size_percent"
"External PA capital (mm),external_pa_capital"
"Active Extension capital (mm),active_ext_capital"
"Internal PA capital (mm),internal_pa_capital"
"In-House return min (%),mu_H_min"
"In-House return max (%),mu_H_max"
"In-House return step (%),mu_H_step"
"In-House vol min (%),sigma_H_min"
"In-House vol max (%),sigma_H_max"
"In-House vol step (%),sigma_H_step"
"Alpha-Extension return min (%),mu_E_min"
"Alpha-Extension return max (%),mu_E_max"
"Alpha-Extension return step (%),mu_E_step"
"Alpha-Extension vol min (%),sigma_E_min"
"Alpha-Extension vol max (%),sigma_E_max"
"Alpha-Extension vol step (%),sigma_E_step"
"External return min (%),mu_M_min"
"External return max (%),mu_M_max"
"External return step (%),mu_M_step"
"External vol min (%),sigma_M_min"
"External vol max (%),sigma_M_max"
"External vol step (%),sigma_M_step"
"External PA α fraction min (%),external_pa_alpha_frac_min"
"External PA α fraction max (%),external_pa_alpha_frac_max"
"External PA α fraction step (%),external_pa_alpha_frac_step"
"Active share min (%),active_share_min"
"Active share max (%),active_share_max"
"Active share step (%),active_share_step"
"SD multiple min,sd_of_vol_mult_min"
"SD multiple max,sd_of_vol_mult_max"
"SD multiple step,sd_of_vol_mult_step"
"Annual financing mean (%),financing_mean_annual"
"Annual financing vol (%),financing_vol_annual"
"Monthly spike probability,spike_prob"
"Spike size (σ × multiplier),spike_factor"
"Internal financing mean (%),internal_financing_mean_annual"
"Internal financing vol (%),internal_financing_vol_annual"
"Internal monthly spike probability,internal_spike_prob"
"Internal spike size (σ × multiplier),internal_spike_factor"
"External PA financing mean (%),ext_pa_financing_mean_annual"
"External PA financing vol (%),ext_pa_financing_vol_annual"
"External PA monthly spike probability,ext_pa_spike_prob"
"External PA spike size (σ × multiplier),ext_pa_spike_factor"
"Active Extension financing mean (%),act_ext_financing_mean_annual"
"Active Extension financing vol (%),act_ext_financing_vol_annual"
"Active Extension monthly spike probability,act_ext_spike_prob"
"Active Extension spike size (σ × multiplier),act_ext_spike_factor"
"In-House annual return (%),mu_H"
"In-House annual vol (%),sigma_H"
"Alpha-Extension annual return (%),mu_E"
"Alpha-Extension annual vol (%),sigma_E"
"External annual return (%),mu_M"
"External annual vol (%),sigma_M"
"Corr index–In-House,rho_idx_H"
"Corr index–Alpha-Extension,rho_idx_E"
"Corr index–External,rho_idx_M"
"Corr In-House–Alpha-Extension,rho_H_E"
"Corr In-House–External,rho_H_M"
"Corr Alpha-Extension–External,rho_E_M"
"Buffer multiple,buffer_multiple"
"Total fund capital (mm),total_fund_capital"
"Plot heatmap,plot_heatmap"
"Plot line,plot_line"
"Plot boxplot,plot_boxplot"
"Plot scatter,plot_scatter"
"Plot time series,plot_time_series"
"Plot histogram,plot_histogram"
"Plot surface,plot_surface"
"rows,variable"
"df_template,variable"
"file_path,variable"
"LABEL_MAP,variable"
"select_csv_file,function"
"load_parameters,function"
"get_num,function"
"build_range,function"
"load_index_returns,function"
"simulate_financing,function"
"build_cov_matrix,function"
"simulate_alpha_streams, function"
"export_to_excel, function"
"export_everything_to_excel, function"